elapsed_s,inference_extension_flow_control_queue_bytes|batch-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|premium-tenant-c,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|standard-tenant-b,inference_extension_flow_control_queue_size|batch-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|premium-tenant-c,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|standard-tenant-b,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
61.12,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,38.0,0.0
62.167,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,39.0,0.0
63.206,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,38.0,0.0
64.248,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,34.0,0.0
65.287,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,33.0,0.0
66.32,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,33.0,0.0
67.357,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,32.0,0.0
68.398,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,32.0,0.0
69.432,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,30.0,0.0
70.468,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,29.0,0.0
71.507,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,29.0,0.0
72.541,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,27.0,0.0
