elapsed_s,tenant,target_concurrency,actual_inflight
109.296,premium-tenant-a,8,8
109.296,premium-tenant-b,7,7
109.296,premium-tenant-c,7,7
109.296,standard-tenant-a,86,89
109.308,standard-tenant-b,76,80
110.309,premium-tenant-a,8,7
110.309,premium-tenant-b,6,3
110.309,premium-tenant-c,7,5
110.31,standard-tenant-a,88,87
110.325,standard-tenant-b,75,71
111.321,premium-tenant-a,8,9
111.321,premium-tenant-b,6,7
111.321,premium-tenant-c,7,8
111.321,standard-tenant-a,82,89
111.338,standard-tenant-b,66,76
112.335,premium-tenant-a,7,8
112.335,premium-tenant-b,6,6
112.335,premium-tenant-c,7,7
112.335,standard-tenant-a,81,95
112.35,standard-tenant-b,70,61
113.346,premium-tenant-a,7,8
113.346,premium-tenant-b,6,6
113.346,premium-tenant-c,7,7
113.346,standard-tenant-a,84,82
113.361,standard-tenant-b,66,69
114.362,premium-tenant-a,6,7
114.362,premium-tenant-b,6,6
114.362,premium-tenant-c,6,6
114.362,standard-tenant-a,80,87
114.373,standard-tenant-b,61,64
115.376,premium-tenant-a,6,7
115.376,premium-tenant-b,5,6
115.376,premium-tenant-c,6,6
115.376,standard-tenant-a,77,76
115.386,standard-tenant-b,61,58
116.389,premium-tenant-a,7,8
116.389,premium-tenant-b,5,5
116.389,premium-tenant-c,6,6
116.389,standard-tenant-a,78,75
116.398,standard-tenant-b,63,56
117.401,premium-tenant-a,6,6
117.401,premium-tenant-b,5,5
117.401,premium-tenant-c,6,6
117.402,standard-tenant-a,71,69
117.41,standard-tenant-b,58,59
118.414,premium-tenant-a,6,6
118.414,premium-tenant-b,5,5
118.414,premium-tenant-c,6,5
118.416,standard-tenant-a,68,73
118.424,standard-tenant-b,57,66
119.429,premium-tenant-a,6,7
119.429,premium-tenant-b,4,5
119.429,premium-tenant-c,5,5
119.429,standard-tenant-a,66,51
119.436,standard-tenant-b,59,65
120.444,premium-tenant-a,5,6
120.444,premium-tenant-b,4,4
120.444,premium-tenant-c,5,5
120.444,standard-tenant-a,60,64
120.447,standard-tenant-b,56,61
121.456,premium-tenant-a,5,5
121.457,premium-tenant-b,4,3
121.457,premium-tenant-c,4,4
121.457,standard-tenant-a,56,59
121.46,standard-tenant-b,57,56
122.467,premium-tenant-a,4,5
122.467,premium-tenant-b,4,4
122.467,premium-tenant-c,4,4
122.467,standard-tenant-a,56,57
122.471,standard-tenant-b,62,61
123.477,premium-tenant-a,5,3
123.477,premium-tenant-b,3,4
123.477,premium-tenant-c,4,4
123.478,standard-tenant-a,55,58
123.481,standard-tenant-b,59,61
124.487,premium-tenant-a,4,5
124.488,premium-tenant-b,4,4
124.488,premium-tenant-c,4,4
124.488,standard-tenant-a,57,49
124.494,standard-tenant-b,68,64
125.499,premium-tenant-a,4,4
125.499,premium-tenant-b,3,5
125.499,premium-tenant-c,3,4
125.499,standard-tenant-a,54,57
125.505,standard-tenant-b,72,72
126.52,premium-tenant-a,4,5
126.52,premium-tenant-b,4,3
126.52,premium-tenant-c,3,4
126.52,standard-tenant-a,67,67
126.521,standard-tenant-b,69,74
127.532,premium-tenant-a,4,5
127.532,premium-tenant-b,3,4
127.532,premium-tenant-c,3,4
127.532,standard-tenant-a,62,66
127.533,standard-tenant-b,66,72
128.546,premium-tenant-a,4,5
128.546,premium-tenant-b,2,3
128.546,premium-tenant-c,3,3
128.546,standard-tenant-a,60,73
128.547,standard-tenant-b,69,74
129.56,premium-tenant-a,4,5
129.56,premium-tenant-b,3,3
129.56,premium-tenant-c,3,3
129.56,standard-tenant-a,68,61
129.56,standard-tenant-b,78,83
130.572,premium-tenant-a,4,4
130.572,premium-tenant-b,3,3
130.572,premium-tenant-c,3,4
130.572,standard-tenant-a,67,71
130.572,standard-tenant-b,75,78
131.587,premium-tenant-a,5,4
131.587,premium-tenant-b,3,4
131.587,premium-tenant-c,3,4
131.587,standard-tenant-a,68,62
131.587,standard-tenant-b,81,86
132.6,premium-tenant-a,4,4
132.6,premium-tenant-b,3,3
132.6,premium-tenant-c,3,2
132.6,standard-tenant-a,76,77
132.6,standard-tenant-b,82,86
133.611,premium-tenant-a,4,5
133.611,premium-tenant-b,4,4
133.611,premium-tenant-c,4,5
133.614,standard-tenant-a,86,73
133.614,standard-tenant-b,86,87
134.624,premium-tenant-a,4,5
134.624,premium-tenant-b,3,4
134.624,premium-tenant-c,4,4
134.626,standard-tenant-a,80,98
134.626,standard-tenant-b,86,93
135.636,premium-tenant-a,5,6
135.636,premium-tenant-b,3,4
135.637,premium-tenant-c,4,4
135.639,standard-tenant-a,80,82
135.639,standard-tenant-b,90,81
136.648,premium-tenant-a,5,6
136.648,premium-tenant-b,4,4
136.648,premium-tenant-c,4,5
136.65,standard-tenant-a,90,102
136.65,standard-tenant-b,84,89
137.659,premium-tenant-a,6,6
137.659,premium-tenant-b,4,5
137.659,premium-tenant-c,4,5
137.665,standard-tenant-a,82,87
137.665,standard-tenant-b,96,87
138.67,premium-tenant-a,6,6
138.67,premium-tenant-b,5,4
138.67,premium-tenant-c,5,5
138.677,standard-tenant-a,91,78
138.677,standard-tenant-b,83,97
139.682,premium-tenant-a,5,6
139.683,premium-tenant-b,4,4
139.683,premium-tenant-c,5,5
139.69,standard-tenant-a,84,81
139.692,standard-tenant-b,80,86
140.695,premium-tenant-a,6,6
140.695,premium-tenant-b,5,5
140.695,premium-tenant-c,6,6
140.706,standard-tenant-a,84,89
140.706,standard-tenant-b,82,78
141.711,premium-tenant-a,6,7
141.711,premium-tenant-b,5,6
141.712,premium-tenant-c,7,7
141.72,standard-tenant-a,95,86
141.722,standard-tenant-b,84,79
142.725,premium-tenant-a,6,8
142.725,premium-tenant-b,5,5
142.725,premium-tenant-c,6,6
142.73,standard-tenant-a,81,80
142.737,standard-tenant-b,80,81
143.736,premium-tenant-a,6,7
143.736,premium-tenant-b,5,5
143.736,premium-tenant-c,6,6
143.746,standard-tenant-a,76,85
143.751,standard-tenant-b,74,81
144.75,premium-tenant-a,7,7
144.75,premium-tenant-b,6,6
144.75,premium-tenant-c,7,8
144.758,standard-tenant-a,82,83
144.764,standard-tenant-b,79,76
145.763,premium-tenant-a,7,7
145.764,premium-tenant-b,6,7
145.764,premium-tenant-c,7,6
145.772,standard-tenant-a,80,79
145.775,standard-tenant-b,68,74
146.778,premium-tenant-a,7,8
146.778,premium-tenant-b,6,6
146.778,premium-tenant-c,7,7
146.784,standard-tenant-a,67,75
146.787,standard-tenant-b,68,72
147.792,premium-tenant-a,8,7
147.792,premium-tenant-b,6,6
147.792,premium-tenant-c,7,7
147.795,standard-tenant-a,69,79
147.803,standard-tenant-b,65,65
148.804,premium-tenant-a,8,9
148.804,premium-tenant-b,6,7
148.804,premium-tenant-c,7,7
148.809,standard-tenant-a,67,56
148.82,standard-tenant-b,72,62
149.818,premium-tenant-a,8,7
149.818,premium-tenant-b,7,7
149.818,premium-tenant-c,7,8
149.82,standard-tenant-a,65,61
149.83,standard-tenant-b,57,65
150.833,premium-tenant-a,8,7
150.833,premium-tenant-b,7,7
150.833,premium-tenant-c,7,8
150.833,standard-tenant-a,64,59
150.843,standard-tenant-b,52,57
151.847,premium-tenant-a,8,6
151.847,premium-tenant-b,7,6
151.848,premium-tenant-c,7,7
151.848,standard-tenant-a,53,66
151.856,standard-tenant-b,63,61
152.858,premium-tenant-a,8,8
152.859,premium-tenant-b,7,7
152.859,premium-tenant-c,6,8
152.859,standard-tenant-a,60,50
152.865,standard-tenant-b,60,59
153.87,premium-tenant-a,8,8
153.87,premium-tenant-b,7,6
153.87,premium-tenant-c,7,8
153.872,standard-tenant-a,58,63
153.875,standard-tenant-b,62,54
154.882,premium-tenant-a,8,7
154.882,premium-tenant-b,7,6
154.883,premium-tenant-c,6,6
154.883,standard-tenant-a,60,61
154.888,standard-tenant-b,60,61
155.895,premium-tenant-a,8,8
155.895,premium-tenant-b,7,8
155.895,premium-tenant-c,6,7
155.895,standard-tenant-a,60,60
155.9,standard-tenant-b,61,61
156.906,premium-tenant-a,8,8
156.906,premium-tenant-b,7,8
156.906,premium-tenant-c,6,6
156.909,standard-tenant-a,56,59
156.924,standard-tenant-b,61,62
157.922,premium-tenant-a,7,7
157.922,premium-tenant-b,7,7
157.922,premium-tenant-c,6,6
157.922,standard-tenant-a,64,63
157.935,standard-tenant-b,62,65
158.933,premium-tenant-a,8,8
158.933,premium-tenant-b,7,8
158.933,premium-tenant-c,5,6
158.933,standard-tenant-a,61,63
158.947,standard-tenant-b,68,73
159.946,premium-tenant-a,7,7
159.946,premium-tenant-b,7,7
159.946,premium-tenant-c,6,6
159.946,standard-tenant-a,68,67
159.958,standard-tenant-b,62,69
160.958,premium-tenant-a,7,7
160.958,premium-tenant-b,6,7
160.958,premium-tenant-c,5,6
160.958,standard-tenant-a,72,69
160.973,standard-tenant-b,74,85
161.971,premium-tenant-a,7,7
161.971,premium-tenant-b,6,7
161.971,premium-tenant-c,4,5
161.971,standard-tenant-a,76,68
161.986,standard-tenant-b,73,82
162.983,premium-tenant-a,6,7
162.983,premium-tenant-b,7,4
162.983,premium-tenant-c,4,5
162.986,standard-tenant-a,70,78
162.997,standard-tenant-b,75,73
163.995,premium-tenant-a,6,7
163.995,premium-tenant-b,6,6
163.995,premium-tenant-c,4,5
163.999,standard-tenant-a,81,76
164.009,standard-tenant-b,72,75
165.009,premium-tenant-a,6,7
165.009,premium-tenant-b,7,7
165.009,premium-tenant-c,3,4
165.011,standard-tenant-a,83,91
165.022,standard-tenant-b,74,79
166.021,premium-tenant-a,5,6
166.021,premium-tenant-b,6,6
