elapsed_s,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|sweep-standard,inference_extension_flow_control_queue_bytes|warmup-standard,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|sweep-standard,inference_extension_flow_control_queue_size|warmup-standard,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
96.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
97.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,3.0,0.0
99.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,4.0,0.0
100.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
101.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,16.0,0.0
102.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,15.0,0.0
103.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,15.0,0.0
104.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
105.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
106.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,13.0,0.0
107.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,12.0,0.0
108.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
109.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,13.0,0.0
110.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,15.0,0.0
111.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,15.0,0.0
112.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
