elapsed_s,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
168.26,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,25.0
169.291,02-test2_priority_noisy-r02,test2_priority_noisy,125.0,0.0
170.347,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,3.0
171.422,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,1.0
172.494,02-test2_priority_noisy-r02,test2_priority_noisy,125.0,52.0
173.534,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,33.0
174.597,02-test2_priority_noisy-r02,test2_priority_noisy,125.0,54.0
175.633,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,43.0
176.678,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,34.0
177.731,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,2.0
178.774,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,27.0
179.816,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,9.0
180.86,02-test2_priority_noisy-r02,test2_priority_noisy,127.0,0.0
181.923,02-test2_priority_noisy-r02,test2_priority_noisy,123.0,0.0
182.978,02-test2_priority_noisy-r02,test2_priority_noisy,124.0,0.0
184.032,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,1.0
185.082,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,1.0
186.13,02-test2_priority_noisy-r02,test2_priority_noisy,118.0,0.0
187.178,02-test2_priority_noisy-r02,test2_priority_noisy,127.0,0.0
188.225,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,9.0
189.273,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,14.0
190.31,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,13.0
191.34,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,4.0
192.394,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,1.0
193.447,02-test2_priority_noisy-r02,test2_priority_noisy,127.0,22.0
194.508,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,10.0
195.54,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,25.0
196.6,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,26.0
197.631,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,13.0
198.682,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,9.0
