elapsed_s,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|sweep-standard,inference_extension_flow_control_queue_bytes|warmup-standard,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|sweep-standard,inference_extension_flow_control_queue_size|warmup-standard,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
143.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,20.0,0.0
144.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,20.0,0.0
145.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,19.0,0.0
146.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,22.0,0.0
147.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,18.0,0.0
148.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,23.0,0.0
149.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,18.0,0.0
150.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,21.0,0.0
151.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,20.0,0.0
152.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,22.0,0.0
153.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,24.0,0.0
154.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,25.0,0.0
155.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,20.0,0.0
156.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,24.0,0.0
157.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,20.0,0.0
158.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,18.0,0.0
159.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,26.0,0.0
160.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,25.0,0.0
161.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,26.0,0.0
162.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,12.0,0.0
163.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,25.0,0.0
164.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,23.0,0.0
166.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,23.0,0.0
167.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,27.0,0.0
168.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,27.0,0.0
169.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,20.0,0.0
170.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-consolidation_three_phase-r01,consolidation_three_phase,18.0,0.0
